model,split,seed,elapsed_s,train_rmse,train_mae,train_r2,train_n,val_rmse,val_mae,val_r2,val_n,test_rmse,test_mae,test_r2,test_n
A,random,42,148.2,0.1741062849760055,0.1176109313964843,0.9799617265782286,80786,0.1884727776050567,0.128083199262619,0.976263651910547,10098,0.2012915164232254,0.1304732263088226,0.9721168878804296,10099
A,textrap,42,112.3,0.1861518174409866,0.1268385052680969,0.976815462068526,67902,0.1973500847816467,0.1365253925323486,0.9731920861228002,7385,0.2409256994724273,0.1731920838356018,0.959589046677574,25696
D,random,42,92.0,0.2025725990533828,0.1402290910482406,0.9728735603288106,80786,0.2141732573509216,0.1495144665241241,0.9693488250468156,10098,0.2305071502923965,0.1533785313367843,0.9634355511205888,10099
D,textrap,42,90.1,0.1960005760192871,0.1343749612569809,0.974297311229426,67902,0.2093749642372131,0.1442920416593551,0.9698256515364944,7385,0.2524241805076599,0.1823717951774597,0.955639676138962,25696
B,random,42,63.3,0.259990781545639,0.1822674572467804,0.9553164943276168,80786,0.2694976925849914,0.1911825984716415,0.9514681672335537,10098,0.2781128287315368,0.1939146816730499,0.9467729627977848,10099
B,textrap,42,59.3,0.2459336370229721,0.172270655632019,0.959533122221449,67902,0.260374516248703,0.1825918406248092,0.953335632201066,7385,0.3280821144580841,0.2454935908317566,0.9250627109215828,25696
A,coldsol,42,41.7,0.2538090646266937,0.1763718128204345,0.9576412966552924,81610,0.8082407712936401,0.5972082614898682,0.5273509263845564,8937,0.8709304928779602,0.6563023924827576,0.4891603682680449,10436
A,coldpair,42,108.0,0.1790091842412948,0.1249671131372451,0.9786933330346212,80806,0.495371013879776,0.3272539377212524,0.8343301505080944,10187,0.555691123008728,0.3656025230884552,0.7993556735982016,9990
A,coldsolv,42,37.4,0.2807453870773315,0.1999273151159286,0.9503225984070688,77981,0.5167146921157837,0.3913421630859375,0.7761582829837396,11262,0.4486393332481384,0.3120391368865967,0.829473872301608,11740
D,coldsol,42,32.2,0.2728551924228668,0.1882970035076141,0.951045474960312,81610,0.8114985823631287,0.6022495031356812,0.5235329625607736,8937,0.8925726413726807,0.6813636422157288,0.4634567888786025,10436
D,coldpair,42,64.2,0.202819287776947,0.1413313895463943,0.972648352455626,80806,0.494009792804718,0.3261146545410156,0.8352393642668152,10187,0.5513536334037781,0.358656108379364,0.8024757408557901,9990
D,coldsolv,42,45.3,0.2682643234729767,0.1853497624397277,0.954641418600748,77981,0.547422468662262,0.4227255582809448,0.7487624032295469,11262,0.4383571743965149,0.2979406416416168,0.8372007168039475,11740
B,coldsol,42,43.4,0.3158313035964966,0.2344425320625305,0.9344098334919704,81610,0.8280644416809082,0.6218816041946411,0.5038812526362103,8937,0.8933170437812805,0.6841726303100586,0.4625614531072065,10436
B,coldpair,42,65.7,0.2432955354452133,0.1714752912521362,0.9606419801863848,80806,0.5146023631095886,0.3524685502052307,0.8212171601258201,10187,0.5657000541687012,0.3749150931835174,0.7920627019742752,9990
B,coldsolv,42,22.5,0.4702802300453186,0.349354088306427,0.8606050508697572,77981,0.5826606154441833,0.4406260848045349,0.7153765151223257,11262,0.5239436626434326,0.3930340111255646,0.7674236982804514,11740
