model,split_seed,model_seed,b_scale,n_solutes_test,train_n,val_n,test_n,test_rmse,test_mae,test_r2,elapsed_s
A_MLP,11,42,,145,82253,9251,9479,0.8473721146583557,0.6042763590812683,0.45571221823092367,6.4
A_MLP,11,123,,145,82253,9251,9479,0.8657811284065247,0.6299242377281189,0.43180619438632084,7.6
Bc_MLP,11,42,1377.9069964465903,145,82253,9251,9479,0.8889755010604858,0.649431586265564,0.40095444947699654,7.5
Bc_MLP,11,123,1377.9069964465903,145,82253,9251,9479,0.8785180449485779,0.6439169049263,0.41496529736093757,9.9
A_GINE,11,42,,145,82253,9251,9479,0.9077024525204196,0.65686213381045,0.3754499326807823,180.5
A_GINE,11,123,,145,82253,9251,9479,0.9463371469930767,0.7100849417747636,0.32115282079072793,143.2
Bc_GINE,11,42,1377.9069964465903,145,82253,9251,9479,0.9193226675775671,0.673409359049108,0.3593568617282221,154.5
Bc_GINE,11,123,1377.9069964465903,145,82253,9251,9479,0.9059259058686376,0.6596207451504181,0.3778922672476047,144.5
A_MLP,22,42,,145,80562,10501,9920,1.0784796476364136,0.8082947731018066,0.14408010827070983,9.9
A_MLP,22,123,,145,80562,10501,9920,0.9805285334587097,0.7356746792793274,0.29249463811651155,7.1
Bc_MLP,22,42,1394.0614008965977,145,80562,10501,9920,0.9936196208000183,0.7452040314674377,0.2734767042226707,18.8
Bc_MLP,22,123,1394.0614008965977,145,80562,10501,9920,1.0398536920547485,0.7809745669364929,0.20429207128005256,9.0
A_GINE,22,42,,145,80562,10501,9920,1.0017752849703996,0.7780428628576139,0.26150107780696974,180.0
A_GINE,22,123,,145,80562,10501,9920,0.9384401004293756,0.7287907656797812,0.3519293482346689,339.2
Bc_GINE,22,42,1394.0614008965977,145,80562,10501,9920,1.0652288973069697,0.829194481006007,0.1649833817736338,116.3
Bc_GINE,22,123,1394.0614008965977,145,80562,10501,9920,0.9357119936478313,0.7191261304345942,0.3556918389566913,195.6
A_MLP,33,42,,145,80122,10791,10070,0.8301260471343994,0.6055499911308289,0.5553501879845923,7.2
A_MLP,33,123,,145,80122,10791,10070,0.814102292060852,0.6117827296257019,0.5723504616249305,8.1
Bc_MLP,33,42,1389.3740649548363,145,80122,10791,10070,0.7954036593437195,0.6101680994033813,0.5917697271186961,7.3
Bc_MLP,33,123,1389.3740649548363,145,80122,10791,10070,0.7959970831871033,0.598620593547821,0.5911603094982982,7.5
A_GINE,33,42,,145,80122,10791,10070,0.8966245611373728,0.6800530631868236,0.48125808817867055,98.2
A_GINE,33,123,,145,80122,10791,10070,0.8449805411783575,0.6565953692275083,0.5392943998619266,145.7
Bc_GINE,33,42,1389.3740649548363,145,80122,10791,10070,0.8401564121375211,0.651643659837454,0.5445398672866034,149.8
Bc_GINE,33,123,1389.3740649548363,145,80122,10791,10070,0.8536026951510975,0.6490666006669897,0.5298443808224993,158.7
A_MLP,44,42,,145,79886,9807,11290,0.9121750593185425,0.6892114281654358,0.4376179198953839,11.3
A_MLP,44,123,,145,79886,9807,11290,0.9190177917480469,0.695347011089325,0.42914879257510397,20.5
Bc_MLP,44,42,1380.5083867295752,145,79886,9807,11290,0.9119453430175781,0.6854720711708069,0.43790111472594406,10.4
Bc_MLP,44,123,1380.5083867295752,145,79886,9807,11290,0.9137753844261169,0.7050780057907104,0.435642863957974,22.9
A_GINE,44,42,,145,79886,9807,11290,1.0070475143210018,0.7581196622956168,0.3145512737852454,246.2
A_GINE,44,123,,145,79886,9807,11290,1.0012781908234158,0.7566416706656574,0.3223825778829047,220.0
Bc_GINE,44,42,1380.5083867295752,145,79886,9807,11290,0.9791110784102343,0.7600104161154961,0.3520537524116888,213.5
Bc_GINE,44,123,1380.5083867295752,145,79886,9807,11290,0.9934653526985081,0.7443631050051893,0.33291603530933855,221.9
A_MLP,55,42,,145,80187,10425,10371,0.8650227189064026,0.6398599147796631,0.3890451846212585,10.6
A_MLP,55,123,,145,80187,10425,10371,0.8552218675613403,0.6265084743499756,0.4028111858197194,10.7
Bc_MLP,55,42,1383.6530331142715,145,80187,10425,10371,0.8529794812202454,0.6196771264076233,0.40593873210708153,9.0
Bc_MLP,55,123,1383.6530331142715,145,80187,10425,10371,0.8713216185569763,0.6442191004753113,0.380115082386115,16.4
A_GINE,55,42,,145,80187,10425,10371,0.9034241573342578,0.7026444994368076,0.3335961750631272,267.2
A_GINE,55,123,,145,80187,10425,10371,0.9091388607595652,0.6773260141208418,0.32513869672481743,205.8
Bc_GINE,55,42,1383.6530331142715,145,80187,10425,10371,0.914229337113137,0.7026523019607122,0.31756013341961864,116.6
Bc_GINE,55,123,1383.6530331142715,145,80187,10425,10371,0.8591259461124089,0.6760694997908834,0.39734640323200643,162.4
