model,split,seed,b_scale,elapsed_s,train_rmse,train_mae,train_r2,train_n,val_rmse,val_mae,val_r2,val_n,test_rmse,test_mae,test_r2,test_n
A_GINE,random,123,,1200.7,0.1883154454561923,0.1307078901156475,0.9765575356120616,80786,0.196902941388673,0.1390710119056146,0.9740927658381602,10098,0.2085358248374672,0.1420182259840421,0.9700737976934564,10099
A_GINE,random,456,,1008.6,0.1818959041165469,0.1282003578753487,0.9781285678965704,80786,0.1968846594967699,0.1384145727559347,0.9740975764444756,10098,0.2057990422871284,0.1397160706019996,0.9708541343939596,10099
Bc_GINE,random,42,1383.756379900725,873.3,0.1807982670572051,0.1255762822483006,0.9783917344658304,80786,0.1927842008140727,0.1334676904519063,0.9751652654838804,10098,0.2040712495909074,0.135718996483399,0.97134147021412,10099
Bc_GINE,random,123,1383.756379900725,880.5,0.1822625322248371,0.1266894273340497,0.9780403112311328,80786,0.1928351820389933,0.1335619529344946,0.9751521287995484,10098,0.2052754537711322,0.1381514799716768,0.971002250028948,10099
Bc_GINE,random,456,1383.756379900725,783.6,0.1904840649338219,0.1311716925702958,0.9760145052105328,80786,0.2001860157509392,0.1395322016561433,0.9732216314211573,10098,0.2125752372630626,0.1423237558273637,0.9689032068941608,10099
A_GINE,coldpair,42,,567.0,0.2036913267776189,0.1471061660871249,0.9724126478124304,80806,0.4859281574405974,0.3211638142427558,0.8405860024458073,10187,0.5323669576105337,0.3426003022882541,0.8158455649965279,9990
A_GINE,coldpair,123,,239.9,0.3281954846994598,0.2392501662828692,0.9283806873482432,80806,0.5300726559896305,0.3602427144540394,0.810306205010406,10187,0.5438889388591446,0.3748733643950558,0.8077880206250232,9990
A_GINE,coldpair,456,,565.8,0.1915452735764409,0.137204315678823,0.9756046066283136,80806,0.4934986037921107,0.3211772971352484,0.8355801761616043,10187,0.5365917924391275,0.3359243738095342,0.8129110882045,9990
Bc_GINE,coldpair,42,1381.8783086609385,242.3,0.3175518806524106,0.229803717212814,0.9329506883794828,80806,0.5215539708894165,0.3602549080411287,0.8163542701534011,10187,0.5473014648407816,0.372192209056791,0.8053684600329112,9990
Bc_GINE,coldpair,123,1381.8783086609385,527.5,0.2073687294977475,0.1491835745246533,0.9714075428539466,80806,0.4913975302468372,0.3302332044219477,0.8369772327870229,10187,0.5330814338091103,0.3471474552551338,0.8153509353061283,9990
