model,split,seed,elapsed_s,train_rmse,train_mae,train_r2,train_n,val_rmse,val_mae,val_r2,val_n,test_rmse,test_mae,test_r2,test_n,b_scale
A_MLP,random,42,77.5,0.17066165804862976,0.11462506651878357,0.9807467818915109,80786,0.18451230227947235,0.124411940574646,0.9772507388571731,10098,0.19670255482196808,0.12578921020030975,0.9733737339749284,10099,
A_MLP,random,123,77.0,0.17313359677791595,0.11608420312404633,0.9801850013916938,80786,0.18990455567836761,0.12732256948947906,0.9759016467916984,10098,0.20072492957115173,0.1292211413383484,0.9722736375253818,10099,
A_MLP,random,456,64.4,0.18193335831165314,0.12522636353969574,0.9781195633961627,80786,0.19365531206130981,0.13412036001682281,0.97494032388226,10098,0.20785078406333923,0.13718578219413757,0.9702700897571699,10099,
Bc_MLP,random,42,55.5,0.19038857519626617,0.1296548992395401,0.9760385491530676,80786,0.20217590034008026,0.14048601686954498,0.9726866249274455,10098,0.2163849174976349,0.13966554403305054,0.9677786130217136,10099,1383.756379900725
Bc_MLP,random,123,78.1,0.17764821648597717,0.12079514563083649,0.9791381385138781,80786,0.1841520518064499,0.12801875174045563,0.9773394852420493,10098,0.20386235415935516,0.13240201771259308,0.9714001125000715,10099,1383.756379900725
Bc_MLP,random,456,78.8,0.1715555489063263,0.11636932939291,0.9805445663460528,80786,0.18465186655521393,0.12616434693336487,0.9772163114150993,10098,0.19725985825061798,0.12764891982078552,0.9732226447684805,10099,1383.756379900725
A_MLP,textrap,42,32.3,0.21477913856506348,0.14914432168006897,0.9691362918430989,67902,0.22685730457305908,0.15837585926055908,0.9645763012616861,7385,0.263933926820755,0.1901729702949524,0.9515020656781511,25696,
A_MLP,textrap,123,65.1,0.18053029477596283,0.12193221598863602,0.9781946004121139,67902,0.19479209184646606,0.1331586390733719,0.9738825343364734,7385,0.2339760661125183,0.16845379769802094,0.9618867736272654,25696,
A_MLP,textrap,456,65.1,0.1830441653728485,0.123723603785038,0.977583095673997,67902,0.1960800290107727,0.1333896964788437,0.9735360231466278,7385,0.23508961498737335,0.16937991976737976,0.9615231328330113,25696,
Bc_MLP,textrap,42,61.5,0.18577900528907776,0.12621451914310455,0.9769082359961646,67902,0.19530805945396423,0.13280947506427765,0.9737439901614408,7385,0.22600775957107544,0.16045187413692474,0.9644385431116386,25696,1344.5608998458347
Bc_MLP,textrap,123,55.0,0.18866831064224243,0.1282438188791275,0.9761843847820852,67902,0.20207856595516205,0.13869664072990417,0.9718920640185361,7385,0.22743621468544006,0.1606360226869583,0.9639875987608048,25696,1344.5608998458347
Bc_MLP,textrap,456,38.8,0.19928224384784698,0.13694515824317932,0.9734294181847406,67902,0.21022716164588928,0.14675670862197876,0.9695795185994389,7385,0.23498840630054474,0.16834792494773865,0.9615562524229491,25696,1344.5608998458347
A_MLP,coldsol,42,18.9,0.25530993938446045,0.17721480131149292,0.9571388564117368,81610,0.8130717873573303,0.6035958528518677,0.5216837907508204,8937,0.882087767124176,0.6642121076583862,0.4759880865577374,10436,
A_MLP,coldsol,123,23.2,0.2328287661075592,0.16105058789253235,0.9643547514062517,81610,0.8009546399116516,0.5885037779808044,0.5358341572211112,8937,0.8730284571647644,0.6641319990158081,0.4866963515398175,10436,
A_MLP,coldsol,456,13.5,0.321328729391098,0.22967873513698578,0.9321066106874814,81610,0.8350643515586853,0.6189997792243958,0.49545810861720074,8937,0.8922951221466064,0.6743953227996826,0.4637903576994654,10436,
Bc_MLP,coldsol,42,21.3,0.25583478808403015,0.17983585596084595,0.95696244868482,81610,0.8278138041496277,0.6057972311973572,0.5041816076623342,8937,0.8820802569389343,0.6761432886123657,0.4759969724832507,10436,1388.0578595869097
Bc_MLP,coldsol,123,8.5,0.5832830667495728,0.42638981342315674,0.7762891372175954,81610,0.8329593539237976,0.606794536113739,0.49799859507533184,8937,0.8499220013618469,0.645540177822113,0.5135079932366133,10436,1388.0578595869097
Bc_MLP,coldsol,456,17.3,0.27675092220306396,0.19358237087726593,0.9496375826336774,81610,0.8409931659698486,0.6156281232833862,0.48826840465151033,8937,0.9007043242454529,0.6938211917877197,0.4536359505640042,10436,1388.0578595869097
A_MLP,coldpair,42,28.8,0.22578121721744537,0.1593509167432785,0.9661046156040753,80806,0.5027775168418884,0.33763912320137024,0.8293391018804808,10187,0.5560230612754822,0.36880168318748474,0.7991158785214434,9990,
