model,split,seed,elapsed_s,train_rmse,train_mae,train_r2,train_n,val_rmse,val_mae,val_r2,val_n,test_rmse,test_mae,test_r2,test_n
A,random,42,47.9,0.1841678023338318,0.1261041462421417,0.97757880370647,80786,0.195301279425621,0.134566992521286,0.9745125240782104,10098,0.2083035409450531,0.1377366781234741,0.9701404299477772,10099
A,textrap,42,45.6,0.1842196881771087,0.1270917356014251,0.9772942439500796,67902,0.1980213075876236,0.1363971978425979,0.9730094198889044,7385,0.2361052483320236,0.1710069328546524,0.9611899599511636,25696
A,coldsol,42,11.3,0.3090953826904297,0.2197844088077545,0.9371777624921472,81610,0.8175083994865417,0.5992905497550964,0.5164495569190168,8937,0.905317723751068,0.685417652130127,0.4480247439608954,10436
A,coldpair,42,43.8,0.1806697398424148,0.1254598647356033,0.9782962000791224,80806,0.4905726015567779,0.3280005753040313,0.8375241290970278,10187,0.5523858070373535,0.3584153950214386,0.8017354741921044,9990
A,coldsolv,42,16.5,0.2799175381660461,0.200236365199089,0.9506151463958632,77981,0.5259885191917419,0.3925989866256714,0.7680513185607115,11262,0.4511314034461975,0.3083668053150177,0.8275741728745343,11740
D,random,42,41.1,0.1972550302743911,0.1339155733585357,0.9742790185112544,80786,0.2099228501319885,0.145545095205307,0.9705533354169666,10098,0.2281243503093719,0.1489226222038269,0.9641875867490274,10099
D,textrap,42,37.6,0.1950906068086624,0.1331497132778167,0.974535416383128,67902,0.2065692842006683,0.1428065299987793,0.9706289193313145,7385,0.2468232065439224,0.1787378042936325,0.9575864338522682,25696
D,coldsol,42,23.5,0.2273747771978378,0.1587935388088226,0.9660051605526244,81610,0.7858121991157532,0.5907207131385803,0.553218854768976,8937,0.8888501524925232,0.6839539408683777,0.4679227877402721,10436
D,coldpair,42,15.8,0.2494332939386367,0.1756408661603927,0.9586311173606378,80806,0.5025309324264526,0.3466466963291168,0.8295064830303182,10187,0.5599302649497986,0.3748751580715179,0.7962827205709782,9990
D,coldsolv,42,13.2,0.3127704858779907,0.220192939043045,0.9383426145592404,77981,0.568481981754303,0.4446392655372619,0.7290601985781533,11262,0.45281583070755,0.3138185441493988,0.8262841485575231,11740
B,random,42,59.5,0.2077515572309494,0.1423275768756866,0.9714688071688404,80786,0.2187326401472091,0.1519690603017807,0.96802990738613,10098,0.2317089140415191,0.1533773690462112,0.9630532947628307,10099
B,textrap,42,24.0,0.2441185861825943,0.1717505306005478,0.9601282232675776,67902,0.2587676644325256,0.1821976006031036,0.953909821975343,7385,0.3393114805221557,0.2548494040966034,0.9198451371265972,25696
B,coldsol,42,30.6,0.2493638843297958,0.178517997264862,0.959112034963283,81610,0.8201600313186646,0.6139926314353943,0.5133076093234185,8937,0.8602874875068665,0.663821816444397,0.5015693110654155,10436
B,coldpair,42,36.9,0.2304320186376571,0.1636093109846115,0.9646938315149072,80806,0.5098591446876526,0.346426248550415,0.8244977335831856,10187,0.560052752494812,0.3716317117214203,0.7961935894031188,9990
B,coldsolv,42,10.1,0.4667142331600189,0.3471895754337311,0.8627110356633846,77981,0.5733616948127747,0.4325295090675354,0.7243889004034825,11262,0.5238386392593384,0.3906608521938324,0.7675169692286388,11740
A,random,123,65.2,0.1748924553394317,0.1189823523163795,0.9797803532799452,80786,0.19004587829113,0.1298873275518417,0.97586576223239,10098,0.1981963068246841,0.1295326352119445,0.9729678002649268,10099
A,textrap,123,48.4,0.1842204183340072,0.1254456788301468,0.9772940641886512,67902,0.1947021186351776,0.1340133398771286,0.9739066546987194,7385,0.2351927459239959,0.1696153283119201,0.9614893690823958,25696
A,coldsol,123,16.9,0.2448594123125076,0.1704889237880706,0.9605758842699365,81610,0.8116322159767151,0.59648597240448,0.5233759857499368,8937,0.8952707052230835,0.6800923347473145,0.4602081663414901,10436
A,coldpair,123,54.8,0.169409692287445,0.1176055893301963,0.9809172297947752,80806,0.4921752214431762,0.3321886956691742,0.8364608340729709,10187,0.5595367550849915,0.3601949214935303,0.7965689629425856,9990
A,coldsolv,123,20.5,0.2626759707927704,0.1846480518579483,0.9565115109393246,77981,0.5192936062812805,0.3967733085155487,0.7739183392290395,11262,0.4615706503391266,0.3098563849925995,0.8195019188274838,11740
D,random,123,36.8,0.1974453777074813,0.1363797187805175,0.974229349820614,80786,0.2079420834779739,0.1459723860025406,0.9711064141224712,10098,0.2204047590494156,0.1481595635414123,0.9665703215115762,10099
D,textrap,123,38.4,0.18984155356884,0.1295914202928543,0.9758872638741464,67902,0.2016604989767074,0.1405592411756515,0.9720082485039914,7385,0.2398844063282013,0.1730775386095047,0.9599376136001152,25696
D,coldsol,123,22.9,0.222104862332344,0.1545359343290329,0.9675627153534844,81610,0.7925680875778198,0.5915384292602539,0.5455035492729693,8937,0.8943722248077393,0.6765719652175903,0.4612910517916451,10436
D,coldpair,123,12.9,0.2528142035007477,0.1773702949285507,0.9575020633959316,80806,0.5097715258598328,0.3543832004070282,0.824558052280778,10187,0.5566731691360474,0.373630940914154,0.7986458795358204,9990
D,coldsolv,123,9.2,0.3758665323257446,0.2713756561279297,0.9109567658498916,77981,0.5262668132781982,0.3883173167705536,0.7678058166008033,11262,0.4877648651599884,0.3530247509479522,0.7984339999809721,11740
B,random,123,25.6,0.247454896569252,0.1721048057079315,0.9595215897299256,80786,0.2596918642520904,0.1806822121143341,0.954935619544114,10098,0.2678416967391968,0.1844692677259445,0.9506318804480784,10099
B,textrap,123,27.3,0.2315692752599716,0.1583777666091919,0.964122203339742,67902,0.2481922954320907,0.1697284579277038,0.9576000838023304,7385,0.2884779870510101,0.206164076924324,0.9420627174766852,25696
B,coldsol,123,7.1,0.4802911281585693,0.3561860918998718,0.8483168100630584,81610,0.8272857666015625,0.6194177865982056,0.5048139028245944,8937,0.9018473625183104,0.6708321571350098,0.4522483942471892,10436
B,coldpair,123,21.3,0.2350128293037414,0.1673568338155746,0.9632761585071318,80806,0.5103766322135925,0.3552282154560089,0.8241413063864945,10187,0.5479873418807983,0.3698052167892456,0.8048803450991133,9990
B,coldsolv,123,20.7,0.2644596695899963,0.1866515576839447,0.955918896832033,77981,0.51346355676651,0.380450040102005,0.7789662324667291,11262,0.4213863611221313,0.2975645661354065,0.8495621458026992,11740
A,random,456,54.7,0.1767143160104751,0.1195766851305961,0.9793569018655028,80786,0.1859232187271118,0.1288287192583084,0.9769014895856248,10098,0.2003877609968185,0.1311350464820861,0.9723667061974056,10099
A,textrap,456,44.7,0.1821849346160888,0.1230083853006362,0.9777930571674068,67902,0.196591705083847,0.1338511556386947,0.9733977235884764,7385,0.241536945104599,0.1743421554565429,0.9593837419303832,25696
A,coldsol,456,9.4,0.3253694176673889,0.2338923513889312,0.930388357826012,81610,0.8299227952957153,0.6157687306404114,0.5016520317052837,8937,0.8984020948410034,0.6836541295051575,0.4564255352241531,10436
A,coldpair,456,24.0,0.2064613699913025,0.145821139216423,0.9716572123945064,80806,0.5067421197891235,0.3387135565280914,0.8266370410391073,10187,0.5500476360321045,0.3546380400657654,0.8034103715840754,9990
A,coldsolv,456,17.3,0.2555812895298004,0.1782316267490387,0.9588289747805684,77981,0.5223301649093628,0.3915177583694458,0.7712666163643305,11262,0.4462486803531647,0.3050697743892669,0.8312863843412683,11740
D,random,456,40.9,0.1920893043279647,0.1308280080556869,0.9756085432359716,80786,0.2074537277221679,0.1422243863344192,0.9712419671445516,10098,0.212518885731697,0.1426271200180053,0.9689196883842512,10099
D,textrap,456,47.3,0.1803705841302871,0.1224784031510353,0.9782331668075892,67902,0.191898226737976,0.1305896043777465,0.9746527788523224,7385,0.2336973845958709,0.1678614467382431,0.961977514215162,25696
D,coldsol,456,18.5,0.2308885604143142,0.1616815328598022,0.9649463509027008,81610,0.8091312050819397,0.5925430655479431,0.5263088944697596,8937,0.9177144169807434,0.6933507919311523,0.4328046039930826,10436
D,coldpair,456,38.9,0.1828538477420807,0.127897098660469,0.9777682763286024,80806,0.4992090165615082,0.3304361701011657,0.831753079457199,10187,0.5481016039848328,0.3603164553642273,0.8047989313279366,9990
D,coldsolv,456,16.4,0.2480618804693222,0.1710166037082672,0.9612159066038808,77981,0.5261677503585815,0.3944402039051056,0.7678932180610638,11262,0.4467055201530456,0.2999582886695862,0.8309407804488551,11740
B,random,456,23.3,0.2547417879104614,0.1789750754833221,0.9571025227695692,80786,0.2673225700855255,0.1878976672887802,0.9522483965953952,10098,0.2756172120571136,0.1907181441783905,0.9477239247845256,10099
B,textrap,456,28.6,0.2314103096723556,0.1613849103450775,0.9641714453847068,67902,0.2443898320198059,0.1691015511751175,0.9588893171643774,7385,0.2939931452274322,0.2129646241664886,0.9398262358771786,25696
B,coldsol,456,18.0,0.2770290076732635,0.1988985687494278,0.9495363308650138,81610,0.8356126546859741,0.6236571073532104,0.4947953352073568,8937,0.8988857865333557,0.6913021206855774,0.4558400725091476,10436
B,coldpair,456,24.7,0.2389437407255172,0.1702335476875305,0.9620373695346764,80806,0.5164493918418884,0.3514529466629028,0.8199314560842992,10187,0.5716403126716614,0.3807054758071899,0.7876727577358009,9990
B,coldsolv,456,19.6,0.2688530385494232,0.18887774646282196,0.9544421230459493,77981,0.5309430956840515,0.4044850766658783,0.7636610354366848,11262,0.4390474557876587,0.3014475107192993,0.8366876079791933,11740
