model,split,seed,b_scale,elapsed_s,train_rmse,train_mae,train_r2,train_n,val_rmse,val_mae,val_r2,val_n,test_rmse,test_mae,test_r2,test_n
Bc,random,42,1381.78,50.0,0.1768036633729934,0.1194583773612976,0.9793360236593088,80786,0.1874361187219619,0.1281952708959579,0.9765240457862098,10098,0.198955699801445,0.1303533911705017,0.9727602543189686,10099
Bc,random,123,1381.78,51.7,0.1799110323190689,0.1229570508003234,0.9786032913468338,80786,0.1911971122026443,0.1325846016407013,0.9755724806960736,10098,0.204243928194046,0.134019985795021,0.9712929509581936,10099
Bc,random,456,1381.78,45.3,0.1805747896432876,0.121763028204441,0.9784451223527132,80786,0.1908594965934753,0.1303858608007431,0.9756586724983412,10098,0.2066578269004821,0.1327698975801468,0.9706103794325434,10099
Bc,textrap,42,1381.77,45.1,0.1786870211362838,0.1202576979994773,0.9786376063808988,67902,0.1915795654058456,0.1285039037466049,0.9747368929268904,7385,0.2149492651224136,0.1512895226478576,0.9678334334704172,25696
Bc,textrap,123,1381.77,38.5,0.1851281374692917,0.1242459267377853,0.9770697526623708,67902,0.1992160230875015,0.1348640769720077,0.9726827511102648,7385,0.2199876755475998,0.1552653461694717,0.9663077893457248,25696
Bc,textrap,456,1381.77,44.3,0.1803190410137176,0.1226747408509254,0.9782456037003416,67902,0.1911031156778335,0.1312865614891052,0.974862389920128,7385,0.2261449992656707,0.1593585014343261,0.9643953465519224,25696
Bc,coldsol,42,1388.06,14.7,0.2646346092224121,0.18613381683826447,0.9539508439650289,81610,0.8137884736061096,0.5990355014801025,0.5208401639263256,8937,0.8902051448822021,0.6806474328041077,0.4662993733658327,10436
Bc,coldsol,123,1388.06,6.2,0.5844283103942871,0.4272303581237793,0.7754097692488786,81610,0.8326284289360046,0.6077889204025269,0.49839734226518606,8937,0.8488491177558899,0.647041380405426,0.514735478933394,10436
Bc,coldsol,456,1388.06,11.5,0.27718880772590637,0.19422666728496552,0.9494780930925619,81610,0.8314400911331177,0.61404949426651,0.4998281200771799,8937,0.9088712334632874,0.6959567070007324,0.4436831188411796,10436
Bc,coldpair,42,1381.88,20.2,0.20915906131267548,0.14827769994735718,0.9709116982680137,80806,0.5058486461639404,0.344906747341156,0.8272478325718637,10187,0.5466832518577576,0.36552169919013977,0.8058078936073977,9990
Bc,coldpair,123,1381.88,19.3,0.22951406240463257,0.16395513713359833,0.9649745697211737,80806,0.4917030334472656,0.34277912974357605,0.8367744654125987,10187,0.552927553653717,0.36481529474258423,0.8013463649568959,9990
Bc,coldpair,456,1381.88,29.0,0.18925298750400543,0.1313980519771576,0.9761850094566823,80806,0.5112679600715637,0.3394027650356293,0.8235265184164244,10187,0.5451595783233643,0.35611435770988464,0.8068888849225634,9990
Bc,coldsolv,42,1387.51,13.0,0.2830308675765991,0.2005641609430313,0.9495104793499815,77981,0.5469115376472473,0.4182608127593994,0.7492311434030235,11262,0.4334867000579834,0.30032679438591003,0.8407982787460301,11740
Bc,coldsolv,123,1387.51,9.5,0.3503361642360687,0.24785083532333374,0.9226422952839465,77981,0.5371788740158081,0.4084813892841339,0.7580769744969482,11262,0.4471195340156555,0.3201776146888733,0.8306272597889096,11740
Bc,coldsolv,456,1387.51,14.2,0.2687588036060333,0.18902581930160522,0.9544740504314089,77981,0.5390055179595947,0.4158347547054291,0.756428887198574,11262,0.44329047203063965,0.30184006690979004,0.8335158078191471,11740
