model,n_T,sample_seed,model_seed,train_rows,val_rows,test_rows,b_scale,test_rmse,test_mae,rmse_interp,rmse_extrap,n_interp,n_extrap,elapsed_s
A,1,0,42,8616,957,19019,,0.3328269422054291,0.2286797612905502,,0.3328269470904652,0,19019,5.4
A,1,0,123,8616,957,19019,,0.3710111081600189,0.2622737288475036,,0.3710111085287281,0,19019,3.2
A,1,0,456,8616,957,19019,,0.3988718688488006,0.2827012836933136,,0.3988718598925804,0,19019,2.7
Bc,1,0,42,8616,957,19019,1382.0,0.3780112266540527,0.2667164206504822,,0.3780112351754027,0,19019,3.5
Bc,1,0,123,8616,957,19019,1382.0,0.3837525844573974,0.2663035094738006,,0.3837525958229311,0,19019,3.3
Bc,1,0,456,8616,957,19019,1382.0,0.3715284764766693,0.2607546150684356,,0.371528488308812,0,19019,3.9
A,1,1,42,8618,958,19019,,0.3893171846866607,0.2782157659530639,,0.3893171751291629,0,19019,2.9
A,1,1,123,8618,958,19019,,0.4327266216278076,0.3135809302330017,,0.4327265998801977,0,19019,2.2
A,1,1,456,8618,958,19019,,0.3435749411582947,0.2398049682378769,,0.3435749347787352,0,19019,5.1
Bc,1,1,42,8618,958,19019,1382.0,0.4084999859333038,0.2915179133415222,,0.4084999750672674,0,19019,2.8
Bc,1,1,123,8618,958,19019,1382.0,0.4172467887401581,0.2968741655349731,,0.4172467640281148,0,19019,2.7
Bc,1,1,456,8618,958,19019,1382.0,0.3619616627693176,0.2545738220214844,,0.3619616503444773,0,19019,3.9
A,1,2,42,8612,957,19019,,0.3639997243881225,0.2570541203022003,,0.3639997223839139,0,19019,3.5
A,1,2,123,8612,957,19019,,0.341354489326477,0.2362666577100753,,0.3413544817078478,0,19019,4.5
A,1,2,456,8612,957,19019,,0.3922448456287384,0.2789786159992218,,0.3922448533203924,0,19019,2.6
Bc,1,2,42,8612,957,19019,1382.0,0.399352490901947,0.2828170359134674,,0.399352466387719,0,19019,3.0
Bc,1,2,123,8612,957,19019,1382.0,0.388823002576828,0.2752235531806946,,0.3888230196524385,0,19019,3.2
Bc,1,2,456,8612,957,19019,1382.0,0.3615060448646545,0.2518825829029083,,0.3615060559797709,0,19019,4.4
A,2,0,42,17249,1916,19019,,0.2647013664245605,0.1853456050157547,0.2101024554186134,0.2759276110255291,3608,15411,11.4
A,2,0,123,17249,1916,19019,,0.2786458432674408,0.1945961564779281,0.2226430197280025,0.2902000125431485,3608,15411,8.7
A,2,0,456,17249,1916,19019,,0.2656042873859405,0.1848529428243637,0.2031578085901715,0.2782065489879274,3608,15411,11.6
Bc,2,0,42,17249,1916,19019,1361.5003925253818,0.2588933110237121,0.1790103614330291,0.2089621941061558,0.2692487355964576,3608,15411,11.6
Bc,2,0,123,17249,1916,19019,1361.5003925253818,0.2564369738101959,0.1775574535131454,0.2029414727418646,0.2674197198282441,3608,15411,10.8
Bc,2,0,456,17249,1916,19019,1361.5003925253818,0.2560596466064453,0.177608236670494,0.2054004502840446,0.2665324813387867,3608,15411,10.7
A,2,1,42,17232,1915,19019,,0.260357916355133,0.1817196011543274,0.2261195063067689,0.2679547703725253,3693,15326,10.5
A,2,1,123,17232,1915,19019,,0.2867175936698913,0.2011990398168563,0.2493853344521936,0.2950078151339388,3693,15326,8.3
