model,split,phase,reference,reproduced,abs_diff
A,random,train,0.1741062849760055,0.1841678023338318,0.010061517357826288
A,random,val,0.1884727776050567,0.195301279425621,0.006828501820564298
A,random,test,0.2012915164232254,0.2083035409450531,0.007012024521827698
A,textrap,train,0.1861518174409866,0.1842196881771087,0.0019321292638778964
A,textrap,val,0.1973500847816467,0.1980213075876236,0.0006712228059768954
A,textrap,test,0.2409256994724273,0.2361052483320236,0.00482045114040372
A,coldsol,train,0.2538090646266937,0.3090953826904297,0.05528631806373596
A,coldsol,val,0.8082407712936401,0.8175083994865417,0.009267628192901611
A,coldsol,test,0.8709304928779602,0.905317723751068,0.0343872308731078
A,coldpair,train,0.1790091842412948,0.1806697398424148,0.0016605556011199951
A,coldpair,val,0.495371013879776,0.4905726015567779,0.004798412322998102
A,coldpair,test,0.555691123008728,0.5523858070373535,0.0033053159713745117
A,coldsolv,train,0.2807453870773315,0.2799175381660461,0.0008278489112854004
A,coldsolv,val,0.5167146921157837,0.5259885191917419,0.009273827075958252
A,coldsolv,test,0.4486393332481384,0.4511314034461975,0.002492070198059082
D,random,train,0.2025725990533828,0.1972550302743911,0.005317568778991699
D,random,val,0.2141732573509216,0.2099228501319885,0.0042504072189331055
D,random,test,0.2305071502923965,0.2281243503093719,0.002382799983024597
D,textrap,train,0.1960005760192871,0.1950906068086624,0.0009099692106247226
D,textrap,val,0.2093749642372131,0.2065692842006683,0.0028056800365448
D,textrap,test,0.2524241805076599,0.2468232065439224,0.0056009739637375155
D,coldsol,train,0.2728551924228668,0.2273747771978378,0.04548041522502902
D,coldsol,val,0.8114985823631287,0.7858121991157532,0.02568638324737549
D,coldsol,test,0.8925726413726807,0.8888501524925232,0.0037224888801574707
D,coldpair,train,0.202819287776947,0.2494332939386367,0.0466140061616897
D,coldpair,val,0.494009792804718,0.5025309324264526,0.00852113962173462
D,coldpair,test,0.5513536334037781,0.5599302649497986,0.008576631546020508
D,coldsolv,train,0.2682643234729767,0.3127704858779907,0.04450616240501404
D,coldsolv,val,0.547422468662262,0.568481981754303,0.021059513092041016
D,coldsolv,test,0.4383571743965149,0.45281583070755,0.0144586563110351
B,random,train,0.259990781545639,0.2077515572309494,0.05223922431468958
B,random,val,0.2694976925849914,0.2187326401472091,0.05076505243778229
B,random,test,0.2781128287315368,0.2317089140415191,0.0464039146900177
B,textrap,train,0.2459336370229721,0.2441185861825943,0.0018150508403778076
B,textrap,val,0.260374516248703,0.2587676644325256,0.0016068518161774237
B,textrap,test,0.3280821144580841,0.3393114805221557,0.0112293660640716
B,coldsol,train,0.3158313035964966,0.2493638843297958,0.06646741926670077
B,coldsol,val,0.8280644416809082,0.8201600313186646,0.007904410362243652
B,coldsol,test,0.8933170437812805,0.8602874875068665,0.03302955627441406
B,coldpair,train,0.2432955354452133,0.2304320186376571,0.01286351680755618
B,coldpair,val,0.5146023631095886,0.5098591446876526,0.004743218421936035
B,coldpair,test,0.5657000541687012,0.560052752494812,0.00564730167388916
B,coldsolv,train,0.4702802300453186,0.4667142331600189,0.0035659968852996826
B,coldsolv,val,0.5826606154441833,0.5733616948127747,0.009298920631408691
B,coldsolv,test,0.5239436626434326,0.5238386392593384,0.00010502338409423828
